Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	age	gender	accuracy	country
5	2	4	4	4	4	5	4	2	2	4	2	22	2	99	CA
4	5	4	4	4	5	5	5	4	1	4	2	23	1	100	US
2	2	2	4	4	4	5	1	2	2	5	4	21	2	75	US
4	4	1	1	4	5	4	4	5	3	2	2	21	2	100	EU
4	4	4	4	4	3	2	4	4	3	4	3	15	2	89	US
4	4	4	2	5	3	4	3	3	4	4	2	19	1	60	ZA
5	4	2	4	4	4	4	4	1	1	1	4	22	2	80	US
4	4	2	2	3	4	4	3	2	2	2	4	24	2	90	US
5	5	2	1	1	4	5	5	1	1	1	1	14	2	96	US
5	3	2	1	3	4	5	4	2	1	1	2	23	1	95	AU
5	5	1	1	4	5	5	5	1	1	1	2	27	2	100	US
1	4	4	4	5	2	2	2	4	4	4	4	40	1	95	US
4	4	2	1	2	5	4	3	2	4	3	1	42	2	80	BR
5	4	2	1	3	5	4	4	3	2	2	2	20	1	80	PT
5	1	1	1	4	5	5	5	1	1	1	1	24	1	95	PH
1	1	5	5	5	2	2	1	5	4	5	5	23	2	100	US
2	3	4	3	2	4	5	4	2	2	2	4	24	2	85	US
5	3	2	2	5	3	5	3	2	2	2	2	31	2	70	AU
4	3	4	4	2	2	4	4	2	2	2	2	28	1	85	US
2	2	2	2	1	5	2	4	4	2	2	2	28	2	80	US
4	3	4	2	5	3	5	5	1	1	4	3	16	1	95	US
4	4	4	4	3	4	2	4	4	3	4	3	17	1	50	GB
4	5	3	2	1	5	5	5	4	2	2	3	16	2	98	US
4	4	2	4	2	5	5	5	2	2	2	4	18	1	100	US
4	1	5	5	5	4	4	4	4	4	5	4	51	1	100	US
4	3	2	2	2	5	5	4	1	1	1	2	28	1	90	US
4	4	1	1	3	4	4	4	1	3	1	2	27	2	80	CA
5	5	4	1	4	4	5	5	1	3	1	2	41	1	90	US
4	4	2	4	2	4	4	5	2	2	2	3	60	1	95	US
4	5	4	2	4	5	5	4	2	2	2	4	52	1	90	US
5	5	1	3	3	4	4	5	3	2	2	2	26	2	90	US
1	1	5	4	4	1	5	3	4	5	4	4	26	2	80	CZ
4	2	2	4	4	2	4	3	2	4	2	2	41	1	85	FI
5	5	4	4	4	2	5	4	3	4	3	1	40	1	100	TR
4	4	1	2	1	5	5	5	1	1	1	3	35	2	80	GB
4	2	4	1	4	3	3	5	5	3	2	4	33	1	80	FR
4	3	1	1	5	5	4	4	1	1	1	1	59	1	90	US
3	2	4	3	5	3	2	4	2	3	2	4	21	2	75	LK
2	3	2	3	5	2	2	3	4	3	3	3	27	1	75	CA
4	5	5	3	3	4	3	5	4	5	4	5	20	2	100	TH
3	5	4	1	4	5	4	4	4	4	5	1	24	1	90	PL
5	5	1	3	1	5	5	4	1	2	1	1	22	2	90	CA
5	4	1	1	2	1	1	2	4	3	3	2	21	2	90	US
4	4	2	1	1	4	5	4	2	1	3	2	21	2	80	NZ
2	1	4	5	5	1	2	3	5	5	4	4	22	2	100	US
4	4	2	4	4	4	4	4	4	2	2	5	22	1	100	CA
4	2	4	4	4	3	4	3	4	3	2	4	15	2	90	US
4	1	4	2	4	2	4	2	1	4	4	1	31	1	80	US
4	5	2	1	3	5	5	5	1	1	2	3	28	2	80	US
1	1	5	5	5	1	3	1	3	5	3	3	27	1	80	GB
4	2	2	4	5	1	2	3	5	4	4	4	27	2	75	US
1	1	5	5	4	3	4	1	4	4	5	5	21	1	85	US
4	4	2	1	5	1	4	3	2	2	4	5	27	1	99	IR
4	4	2	3	3	4	4	4	1	3	2	3	16	1	100	US
4	5	2	2	3	4	5	4	1	2	2	1	13	1	80	US
2	1	4	4	4	2	2	2	3	2	4	2	16	1	100	US
4	5	1	1	3	4	5	4	2	2	1	3	59	2	95	GB
5	5	1	2	4	4	4	4	1	1	1	3	20	1	85	US
4	4	1	2	4	5	4	4	2	2	2	2	22	2	100	CA
3	2	2	4	4	2	5	1	2	3	3	4	32	1	85	US
5	4	2	1	3	5	5	5	1	2	1	2	21	1	80	US
2	1	4	4	5	3	4	1	4	3	5	5	19	2	72	US
4	5	3	2	5	5	3	3	4	4	4	3	22	1	100	US
2	1	4	5	2	2	4	2	3	4	5	5	30	2	80	US
5	4	2	1	4	5	5	2	2	1	1	1	27	2	95	US
2	1	4	5	3	2	2	3	2	2	5	4	37	2	100	US
4	5	2	2	1	5	4	5	3	2	1	2	19	2	83	US
4	4	1	1	2	4	3	4	3	1	1	1	30	2	95	AU
5	5	1	1	1	5	5	1	1	1	1	1	13	1	100	US
5	5	1	1	5	5	5	5	2	2	1	1	19	1	90	NO
2	1	5	4	5	1	3	3	5	5	5	3	19	2	95	US
4	4	2	2	2	4	4	4	2	2	2	2	20	2	80	RO
4	2	2	2	4	4	2	2	4	2	2	4	39	2	85	US
4	5	2	2	1	4	4	5	4	1	1	1	17	1	90	US
4	3	4	4	2	4	2	2	2	4	5	5	55	1	100	US
4	4	5	5	5	4	5	3	4	4	4	5	34	2	70	US
5	4	1	2	4	4	5	3	1	2	1	3	22	2	98	US
5	5	1	1	5	5	4	4	2	5	1	2	25	1	95	US
4	4	2	2	5	4	5	4	1	2	2	1	21	1	85	US
1	1	2	2	4	5	3	3	3	4	2	4	32	2	60	CA
5	4	2	2	2	4	4	4	2	2	2	2	18	1	80	US
4	4	4	4	5	4	4	4	1	1	1	2	20	1	80	MY
3	3	4	4	3	5	5	4	2	2	2	4	36	2	65	GB
5	4	1	1	4	4	5	4	1	1	1	2	27	1	75	US
4	4	3	4	4	4	4	3	4	3	4	4	33	2	10	US
5	5	1	1	2	5	5	5	1	2	1	5	51	2	100	US
4	2	1	2	1	4	4	4	2	1	2	2	26	1	90	US
2	5	5	5	5	1	5	3	5	5	5	5	16	1	99	US
4	4	4	2	2	4	4	4	2	1	2	4	30	1	100	US
4	4	2	1	2	5	4	5	3	2	3	1	27	1	75	AU
4	1	2	2	4	3	4	3	4	4	3	4	21	2	90	US
5	4	2	1	4	2	5	4	1	4	4	2	14	1	90	US
4	5	3	2	4	5	5	5	2	2	2	4	17	2	83	US
4	5	2	2	2	5	4	5	2	2	2	2	24	2	93	US
5	5	1	1	1	5	5	5	1	1	1	1	18	3	100	US
1	1	4	4	4	3	3	2	4	4	5	4	16	1	60	BR
4	1	1	1	1	4	4	2	1	1	1	2	16	2	95	US
2	1	5	5	5	1	5	3	1	4	5	5	28	1	80	MY
2	3	4	2	3	4	4	2	5	4	3	2	22	2	80	MX
4	4	2	2	3	4	4	5	4	2	2	3	21	1	90	GB
4	5	1	1	4	5	5	3	1	1	1	5	29	2	75	US
4	4	2	2	4	4	4	4	1	2	4	4	24	2	80	US
5	4	1	5	5	5	5	5	1	1	1	1	28	1	100	GB
4	2	3	5	4	4	2	3	4	3	3	5	23	1	67	US
4	1	2	4	5	5	5	5	2	2	2	3	25	1	80	GB
4	3	2	2	4	5	4	4	2	2	2	2	35	2	85	US
5	5	1	1	3	5	4	4	2	2	1	3	32	1	85	US
5	4	4	4	2	5	5	5	4	2	4	5	17	2	100	CA
3	3	3	2	4	4	5	4	4	2	4	2	30	2	75	US
4	5	2	2	1	4	4	4	2	2	1	3	55	1	80	CA
2	1	4	2	3	3	2	3	4	4	3	4	14	1	50	US
4	3	2	2	4	2	4	4	1	3	3	4	16	1	85	US
5	4	4	3	2	4	5	4	4	4	2	2	26	1	85	US
2	1	2	3	4	5	5	5	2	2	5	2	23	1	90	PK
5	4	3	2	4	4	4	5	2	1	1	3	18	2	100	US
5	2	1	1	5	4	4	4	1	1	1	2	18	1	99	MY
5	4	2	2	1	4	2	4	2	2	2	3	40	2	7	US
5	3	1	5	4	5	5	5	1	1	1	5	22	2	100	MY
4	4	2	1	3	5	4	4	2	1	2	2	60	1	90	US
2	1	4	3	5	1	2	3	4	4	5	3	13	2	95	US
5	5	1	1	2	4	5	4	1	1	1	2	26	1	90	US
5	5	2	4	4	5	5	5	1	5	2	2	18	1	80	SI
4	4	3	2	5	2	2	3	4	4	4	4	36	1	50	US
3	5	4	4	1	4	4	3	3	2	2	2	15	2	80	PR
4	2	4	2	4	2	4	4	4	4	4	4	17	2	76	US
3	4	4	4	3	5	2	3	5	2	4	3	16	2	100	US
5	5	1	1	1	5	5	5	1	1	1	1	49	1	88	US
4	3	4	5	4	3	5	3	1	2	2	4	19	2	85	US
4	2	2	3	4	3	4	4	2	1	2	3	21	1	86	MY
2	1	5	5	5	2	2	2	4	4	5	5	51	2	95	US
5	3	1	2	4	4	5	3	2	2	4	2	19	1	80	IT
4	4	4	3	2	4	4	2	2	3	3	3	16	2	80	GB
4	4	2	2	4	4	5	3	2	2	3	2	17	2	97	US
1	2	4	5	5	2	2	2	5	5	5	3	20	1	80	SE
4	4	4	4	4	2	5	2	2	2	2	2	15	2	98	US
2	2	1	1	1	5	3	5	2	2	1	1	24	2	90	NO
5	4	1	1	5	5	5	4	1	1	1	3	22	1	100	US
4	4	2	1	5	5	3	4	3	1	1	2	38	1	98	KR
4	2	3	4	4	4	2	4	3	2	4	3	36	1	90	IT
4	4	2	2	4	4	5	5	1	2	1	4	25	2	80	IT
2	1	5	5	5	1	3	1	5	5	5	3	45	1	100	US
4	2	4	1	4	5	4	4	4	1	2	3	20	1	80	NL
3	5	1	4	5	5	5	4	1	2	2	4	18	1	90	MX
4	4	5	5	3	3	4	5	2	3	5	4	17	2	75	US
4	1	1	1	4	5	4	5	2	3	2	2	16	1	83	MX
5	4	1	1	4	4	5	5	2	1	1	1	26	2	96	US
4	5	4	1	4	2	5	5	2	3	1	2	18	2	70	US
2	1	2	3	1	2	5	5	3	3	4	3	19	2	22	IN
2	1	5	5	5	2	2	2	5	5	5	5	16	1	80	AU
5	4	2	2	2	3	5	3	1	1	1	2	18	2	85	SG
4	3	2	2	1	4	4	3	4	2	2	2	54	1	80	US
4	5	1	1	4	5	3	4	4	2	1	2	50	1	90	CA
3	4	4	3	4	2	3	4	2	3	4	2	35	2	80	US
2	2	4	4	2	5	4	4	4	2	2	4	31	1	75	US
5	5	2	2	4	4	4	3	4	2	2	1	36	2	90	IE
1	1	4	3	4	4	4	4	5	4	4	4	16	1	70	CA
4	4	2	2	4	4	5	4	1	2	2	3	19	2	90	NZ
4	5	1	1	3	5	5	3	2	1	1	3	22	2	85	DE
4	3	4	2	3	4	4	4	2	2	2	3	24	1	70	DE
4	4	2	4	4	2	5	4	2	2	2	4	15	1	100	US
5	4	4	1	3	3	4	5	2	1	2	1	19	2	80	CA
2	2	4	5	4	2	1	1	5	5	5	4	36	2	95	CA
4	2	4	3	2	4	4	2	2	4	3	2	65	1	75	CA
4	4	1	1	1	5	4	4	1	1	1	2	32	1	100	AU
3	2	3	3	2	4	3	3	2	2	4	3	19	1	90	US
5	5	2	1	2	5	5	4	2	1	1	1	49	1	90	US
4	4	2	1	2	4	5	4	1	1	2	4	23	1	90	AU
4	2	4	5	4	2	2	2	4	4	5	4	16	1	90	GB
4	4	2	3	2	4	4	3	1	2	2	4	52	1	90	US
4	4	3	3	3	4	5	4	2	2	2	4	41	2	75	US
4	3	4	4	4	2	4	3	5	4	4	3	16	2	100	GB
5	5	2	3	4	4	4	4	1	1	1	2	17	1	78	US
5	5	2	2	3	4	4	4	1	1	1	1	40	2	90	US
5	4	1	1	2	4	4	4	2	2	1	1	26	2	80	US
2	1	3	4	5	3	2	4	3	4	4	3	17	1	60	GR
5	5	1	1	4	3	4	4	2	4	1	3	34	1	95	AU
1	1	4	4	5	1	4	2	2	4	4	4	24	2	80	US
1	1	5	5	5	1	2	2	4	3	4	5	23	1	95	US
2	2	2	2	5	2	4	4	3	2	4	5	15	1	90	CA
4	2	4	4	4	2	4	4	2	2	4	4	17	2	80	US
5	4	1	1	2	5	4	4	2	2	1	2	36	2	90	US
5	5	1	1	3	5	5	4	4	1	2	1	33	1	85	US
4	3	4	2	4	5	4	4	4	3	2	3	25	1	85	BR
4	5	3	1	2	2	4	3	2	1	1	2	46	2	45	AU
5	4	2	1	3	4	4	4	1	1	1	2	23	1	85	CA
4	1	4	4	4	2	4	2	2	4	4	4	58	1	80	NZ
4	2	1	3	4	2	4	5	2	1	2	4	16	2	97	US
2	1	5	5	5	2	1	2	5	4	5	5	28	2	90	US
1	2	4	4	4	1	1	4	3	4	5	4	17	2	100	US
5	3	4	2	3	4	5	5	3	2	2	3	36	2	70	IE
5	3	4	2	2	2	5	2	1	2	2	2	18	2	95	SI
2	3	5	4	5	1	2	3	4	5	5	5	15	2	95	US
5	4	1	2	4	4	5	5	1	2	1	4	24	2	90	US
4	4	1	2	3	4	4	3	3	2	1	1	21	1	50	US
3	4	2	1	3	3	1	4	2	2	1	5	16	1	80	DK
4	4	5	5	5	3	4	3	2	3	4	5	17	1	95	CA
4	3	5	5	4	4	4	2	1	1	1	3	17	2	80	US
4	2	2	2	4	2	4	3	5	4	2	2	33	1	70	US
3	4	5	3	4	1	5	4	5	2	1	2	16	2	95	US
5	3	1	2	4	3	5	5	1	1	1	3	19	1	100	US
